event,traceID,taskID,timestamp
mousemove on airtime,20,0,0
mousemove on distance,20,0,1
mousemove on departure,20,0,2
mousemove on departure,20,0,3
brush on departure,20,0,4
click on departure,20,0,5
mousemove on departure,20,0,6
brush on departure,20,0,7
click on departure,20,0,8
mousemove on departure,20,0,9
brush on departure,20,0,10
click on departure,20,0,11
mousemove on departure,20,0,12
brush on departure,20,0,13
mousemove on arrival,20,1,14
mousemove on delay,20,1,15
brush on arrival,20,2,16
brush on arrival,20,2,17
brush on arrival,20,2,18
brush on arrival,20,2,19
brush on airtime,20,2,20
brush on arrival,20,2,21
brush on arrival,20,2,22
brush on arrival,20,2,23
brush on arrival,20,2,24
brush on arrival,20,2,25
dblclick on arrival,20,2,26
brush on arrival,20,2,27
click on arrival,20,2,28
mousemove on arrival,20,2,29
brush on arrival,20,2,30
click on arrival,20,2,31
dblclick on arrival,20,2,32
dblclick on arrival,20,2,33
mousemove on delay,20,2,34
brush on delay,20,2,35
mousemove on delay,20,2,36
mousemove on departure,20,2,37
brush on departure,20,2,38
click on departure,20,2,39
mousemove on departure,20,2,40
brush on departure,20,2,41
click on departure,20,2,42
dblclick on departure,20,2,43
dblclick on departure,20,2,44
mousemove on departure,20,2,45
brush on departure,20,2,46
click on departure,20,2,47
mousemove on departure,20,2,48
brush on departure,20,2,49
click on departure,20,2,50
dblclick on departure,20,2,51
dblclick on departure,20,2,52
mousemove on departure,20,2,53
brush on distance,20,2,54
brush on departure,20,2,55
brush on departure,20,2,56
